feature_type,regressor,train_size,trial,method,coverage,width
Multivariate,MLP,876,4,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,4,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,5,Original_GitHub,0.8943429731100964,427.18457842125844
Multivariate,MLP,876,5,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,5,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,6,Original_GitHub,0.8944698122780315,428.0352732271189
Multivariate,MLP,876,6,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,6,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,7,Original_GitHub,0.8943429731100964,427.5623662384157
Multivariate,MLP,876,7,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,7,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,8,Original_GitHub,0.8944698122780315,427.1713507887982
Multivariate,MLP,876,8,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,8,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,9,Original_GitHub,0.8944698122780315,427.14596392279947
Multivariate,MLP,876,9,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,9,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,1654,0,Original_GitHub,0.8995215311004785,420.2789490528313
Multivariate,MLP,1654,0,Reimplementation,0.8995215311004785,420.2789490528313
Multivariate,MLP,1654,0,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,0,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,1,Original_GitHub,0.8998029833943146,420.690522541816
Multivariate,MLP,1654,1,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,1,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,2,Original_GitHub,0.8998029833943146,418.6210662677125
Multivariate,MLP,1654,2,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,2,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,3,Original_GitHub,0.8998029833943146,420.30691050419256
Multivariate,MLP,1654,3,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,3,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,4,Original_GitHub,0.8998029833943146,419.72578816472935
Multivariate,MLP,1654,4,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,4,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,5,Original_GitHub,0.8998029833943146,419.70967132374557
Multivariate,MLP,1654,5,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,5,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,6,Original_GitHub,0.8998029833943146,420.6127800402565
Multivariate,MLP,1654,6,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,6,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,7,Original_GitHub,0.8998029833943146,419.46815890072276
Multivariate,MLP,1654,7,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,7,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,8,Original_GitHub,0.8996622572473966,421.5609930159494
Multivariate,MLP,1654,8,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,8,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,1654,9,Original_GitHub,0.8998029833943146,421.3963103404472
