feature_type,regressor,alpha,trial,method,coverage,width
Multivariate,MLP,0.15000000000000002,9,Original_GitHub,0.8530251141552512,261.8095305537492
Multivariate,MLP,0.15000000000000002,9,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,9,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.2,0,Original_GitHub,0.8010844748858448,131.6832779778664
Multivariate,MLP,0.2,0,Reimplementation,0.8010844748858448,131.6832779778664
Multivariate,MLP,0.2,0,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,0,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,1,Original_GitHub,0.8010844748858448,131.54681868215695
Multivariate,MLP,0.2,1,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,1,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,2,Original_GitHub,0.8033675799086758,130.80954405200004
Multivariate,MLP,0.2,2,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,2,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,3,Original_GitHub,0.8010844748858448,131.3744347056329
Multivariate,MLP,0.2,3,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,3,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,4,Original_GitHub,0.8000856164383562,131.48295870016517
Multivariate,MLP,0.2,4,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,4,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,5,Original_GitHub,0.800656392694064,131.5942190894134
Multivariate,MLP,0.2,5,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,5,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,6,Original_GitHub,0.8012271689497716,131.76727564918704
Multivariate,MLP,0.2,6,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,6,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,7,Original_GitHub,0.8020833333333334,131.213734562702
Multivariate,MLP,0.2,7,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,7,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,8,Original_GitHub,0.7999429223744292,131.75832367368983
Multivariate,MLP,0.2,8,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,8,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.2,9,Original_GitHub,0.7999429223744292,132.01976526332714
